File	Type	Individual	x1	y1	x2	y2	x3	y3	x4	y4	x5	y5	x6	y6	x7	y7	x8	y8	x9	y9	x10	y10	x11	y11	x12	y12	x13	y13	x14	y14	x15	y15	x16	y16	x17	y17	x18	y18	x19	y19	x20	y20	x21	y21	x22	y22	x23	y23	x24	y24
c_1.txt	Gilia capitata	1	14.5208	14.6458	15.3837	13.3698	8.9392	13.4531	6.467	11.9392	9.1337	10.2865	12.9948	10.6753	10.8837	8.0295	10.4809	4.3212	13.842	5.974	15.5781	8.8351	15.0365	5.5712	16.1476	2.1962	18.0503	5.1684	18.3003	8.4323	18.8698	5.6545	21.5087	2.8351	22.0087	6.4045	20.7726	9.7517	23.4531	7.5712	26.8837	6.8906	25.3837	10.0434	22.4913	11.8524	19.6441	12.8872	19.7969	15.9566
c_4.txt	Gilia capitata	4	16.8438	14.5729	16.7135	12.0052	23.8281	9.9323	25.6823	7.2865	22.1927	7.0469	19.224	8.7135	21.6302	6.151	21.7135	2.8906	19.1094	4.4219	17.0365	7.4219	17.7031	3.974	16.3698	0.7344	14.4323	3.6094	14.2135	7.349	13.1719	3.2344	10.8177	1.151	10.0885	4.2448	11.401	7.7344	8.7552	4.9115	5.6927	3.9635	6.3594	7.276	9.2552	9.5573	12.3594	11.151	11.224	13.4115
c_7.txt	Gilia capitata	7	17.1354	15.0833	16.6927	11.5365	24.0573	9.3385	25.526	6.5052	22.1094	6.6094	18.8073	8.6406	20.3073	5.6406	20.099	2.0469	17.3385	4.3698	15.9427	7.8906	15.8385	4.0781	14.2448	1.0365	12.776	4.2448	12.9844	8.026	10.8281	4.4844	8.1094	2.4844	8.2969	6.0469	10.2969	9.2552	7.3698	7.8906	3.3385	7.6198	6.2448	10.5052	8.7969	11.5469	12.7135	12.151	11.651	14.7448
c_8.txt	Gilia capitata	8	16.0104	17.9479	15.8177	14.6615	22.1094	11.3281	23.9531	8.7552	20.6406	8.8802	17.8594	10.6719	19.3594	7.3698	19.224	4.4323	16.7135	6.2969	15.4427	9.6302	14.5573	6.1198	12.3385	4.0677	11.8385	7.026	13.026	10.224	11.099	7.8073	8.1823	6.6302	8.7344	9.6615	11.0885	12.2552	7.8073	11.3385	4.3906	12.1719	7.2344	14.4635	10.276	15.0156	12.0885	14.9531	11.3177	16.6615
c_9.txt	Gilia capitata	9	10.7708	15.2604	12.599	12.3385	6.7552	7.2135	5.9844	4.0365	8.8073	5.6094	11.2969	8.6719	10.3906	5.0781	11.2448	1.8177	13.1406	4.5052	13.7344	8.0677	14.4115	4.5573	16.3698	1.6719	17.3177	5.026	16.4844	8.3385	19.2344	5.6719	22.1302	4.7448	21.2448	7.5885	18.7135	9.9844	21.724	8.9219	24.7656	9.276	22.526	11.4948	19.2135	12.3906	15.6406	12.776	16.2448	15.7552
c_10.txt	Gilia capitata	10	12.8438	14.8021	14.9115	12.8698	8.6302	13.3281	5.8594	12.1823	8.3594	10.6094	11.599	10.8281	9.1302	8.7031	8.2552	5.5677	11.3073	6.5677	13.5365	9.026	12.8177	5.7969	14.0677	2.8385	15.651	5.401	16.0156	9.1302	16.0052	5.526	17.526	3.0677	18.6406	5.7344	18.151	9.4323	19.3385	6.2969	21.8385	4.3281	21.9844	7.5365	20.4115	10.2552	18.1406	12.849	18.0781	16.2448
c_11.txt	Gilia capitata	11	12.9792	15.1667	13.3594	11.6927	7.401	11.6406	4.8177	10.3385	7.7448	9.3385	10.776	9.974	8.2135	7.974	7.2969	4.8073	10.3385	6.1302	12.6198	8.6823	11.0365	5.9219	11.1823	3.0365	13.3281	4.9531	14.5365	8.1823	14.1094	4.6927	15.2135	2.099	16.724	4.5469	16.724	8.0052	18.0365	4.8906	20.2552	2.724	20.5052	5.9323	18.9635	8.5469	16.599	11.2865	17.8698	14.0469
c_12.txt	Gilia capitata	12	15.3125	17.3333	14.4115	14.151	22.0781	15.2448	24.9219	13.5156	21.9323	12.2135	18.724	12.401	21.6823	10.2969	23.099	7.6094	20.0885	7.9948	16.7656	10.1302	18.151	6.9219	18.1719	3.6302	15.6615	5.6094	13.8906	9.0052	13.5573	5.5781	11.8177	2.3594	10.3385	5.9531	10.7344	9.4531	8.4844	6.2344	5.9531	4.1823	6.0677	7.6927	8.0781	10.6198	11.7865	13.5573	9.9427	16.2969
c_13.txt	Gilia capitata	13	15.6354	16.5208	15.276	13.1615	21.3142	11.6962	23.5087	9.224	20.3003	8.7795	16.9115	10.3212	19.3281	7.5295	20.1059	4.5017	17.2865	6.0573	15.2309	9.0156	16.592	5.8628	16.3142	2.5156	13.7726	5.099	13.1753	8.349	12.1476	4.6684	9.7031	2.4601	9.3559	5.6406	10.842	9.2899	8.1337	6.9566	5.0087	6.4149	6.4253	9.151	9.5781	11.2483	11.7726	12.3733	10.3698	15.5608
c_14.txt	Gilia capitata	14	18.4583	15.6875	17.0156	12.901	22.8594	9.2135	23.776	6.901	21.2031	7.4115	18.1927	9.776	19.4427	6.9844	19.6823	3.6406	17.1198	5.849	15.8698	8.599	15.2031	5.4635	13.401	2.8281	12.776	6.099	13.4219	9.224	11.1406	6.7969	7.8594	5.9531	9.151	9.0052	11.5781	11.2552	8.526	10.3802	5.2552	11.1615	8.099	13.2448	11.026	13.8698	13.6094	13.6302	13.3073	16.7344
c_15.txt	Gilia capitata	15	12.8438	15.5938	13.7448	12.4844	6.9219	11.2969	4.651	8.9844	7.8385	8.4531	11.651	9.7552	9.7969	6.3698	9.7031	3.151	12.2656	5.2552	13.776	8.1823	13.6927	5.1927	15.151	1.9635	16.526	5.1302	16.4635	8.901	17.9948	5.4219	20.2969	3.5365	20.2656	6.5052	18.2969	10.1406	21.1823	7.9948	24.8177	7.2135	22.776	10.3906	19.9219	11.9323	16.8281	12.7448	17.7656	15.724
c_16.txt	Gilia capitata	16	12.9479	15.2812	12.651	11.5156	5.9531	8.8698	4.4427	6.349	7.474	6.8073	10.9531	9.0885	9.099	5.4844	9.1823	2.5156	11.4531	4.3906	12.9844	7.5677	12.599	4.5156	13.4948	1.401	15.2969	4.0885	15.5156	7.0677	16.5365	3.9948	18.6927	1.6927	19.0365	4.8385	17.776	8.2135	20.724	6.8281	24.3177	6.9427	21.7552	9.5469	19.0781	10.6094	16.1094	11.2552	18.0781	13.349
c_18.txt	Gilia capitata	18	13.8021	16.4375	14.7344	12.7031	8.1719	10.6927	5.9219	8.4115	9.1823	8.2552	12.8594	10.1302	10.7865	7.1198	10.0885	3.8594	12.724	5.7969	14.7969	9.0365	14.1198	5.1094	15.3802	1.9323	16.8073	4.7135	16.9948	8.8281	18.5156	5.2656	20.9427	3.0156	20.8385	6.1719	19.099	9.7656	22.5052	7.599	25.8281	7.3281	23.8906	10.224	20.6823	11.9219	18.1406	12.6406	19.0365	16.401
c_20.txt	Gilia capitata	20	11.7604	18.7917	12.8385	14.3385	5.9635	12.7135	3.6406	10.7552	6.5573	10.3177	10.2865	11.276	8.6198	8.4635	7.8906	5.0677	10.7865	7.0677	12.7344	9.9531	12.1094	6.4948	12.6302	3.8073	14.276	6.1094	14.9948	9.2865	15.6615	5.724	17.1719	2.8385	18.2031	6.0156	17.7344	9.9427	20.349	7.1406	23.0365	5.7448	22.2969	8.6302	19.599	11.5781	16.7135	13.776	17.599	18.6719
c_21.txt	Gilia capitata	21	13.1875	16.0833	13.5156	12.4323	7.5781	11.6302	5.0573	10.2344	7.9219	9.1927	11.1615	9.7969	8.974	7.1302	8.099	4.5052	10.7552	5.5365	13.0365	7.8385	12.1823	5.0677	12.776	2.1719	14.526	4.5156	15.4115	7.5781	16.1094	4.7448	17.9844	2.4323	18.4323	5.276	17.599	8.4948	19.8385	6.3698	22.776	5.1823	21.6719	8.0677	19.3802	10.2448	16.5677	11.8802	17.9531	15.224
c_22.txt	Gilia capitata	22	12.7812	17.0521	13.2969	13.1615	8.0052	11.8594	6.2656	9.6823	8.9948	9.3802	12.151	10.7135	9.9219	7.7969	9.4219	5.276	11.9531	6.3906	14.0365	8.901	13.4948	5.8906	14.3802	3.474	15.9219	5.6823	16.3594	8.8177	17.8177	5.7969	20.349	4.0156	20.1615	6.8802	18.8802	9.5781	21.8073	7.9948	24.3906	7.7656	23.0885	9.8594	19.7448	11.9115	16.6719	13.2969	17.2135	17.3802
c_23.txt	Gilia capitata	23	18.9896	14.6771	17.7344	11.7865	23.724	10.0885	25.3906	8.0469	22.8385	7.8802	19.6719	9.0885	22.1302	6.4844	22.599	4.026	20.224	4.9635	17.7135	7.4115	17.5885	4.4323	16.3385	1.9635	15.1927	4.401	15.1719	7.7135	13.6198	4.5781	11.4844	2.8698	11.5052	5.5781	12.8906	8.6198	10.2656	6.8385	7.474	6.3698	8.6927	8.8073	11.3906	10.6406	14.2656	11.8073	13.3698	14.776
